ppname,ANS.p_correct,CANCELLATION_MARKED.bestR,CANCELLATION_MARKED.interdist,CANCELLATION_MARKED.intersect_rate,CANCELLATION_MARKED.intertime,CANCELLATION_UNMARKED.intertime,CATTELL_1.n_correct,CATTELL_2.n_correct,DEPRIVATION.IDACI_Rank,DEPRIVATION.Index_of_Multiple_Deprivation_Rank,DIGIT_SPAN.n_correct,DOT_MATRIX.n_correct,GONOGO.dprime,QUESTIONNAIRE_1.Q10_RT,QUESTIONNAIRE_1.Q10_resp,QUESTIONNAIRE_1.Q11_RT,QUESTIONNAIRE_1.Q11_resp,QUESTIONNAIRE_1.Q12_RT,QUESTIONNAIRE_1.Q12_resp,QUESTIONNAIRE_1.Q13_RT,QUESTIONNAIRE_1.Q13_resp,QUESTIONNAIRE_1.Q14_RT,QUESTIONNAIRE_1.Q14_resp,QUESTIONNAIRE_1.Q15_RT,QUESTIONNAIRE_1.Q15_resp,QUESTIONNAIRE_1.Q16_RT,QUESTIONNAIRE_1.Q16_resp,QUESTIONNAIRE_1.Q17_RT,QUESTIONNAIRE_1.Q17_resp,QUESTIONNAIRE_1.Q18_RT,QUESTIONNAIRE_1.Q18_resp,QUESTIONNAIRE_1.Q19_RT,QUESTIONNAIRE_1.Q19_resp,QUESTIONNAIRE_1.Q1_RT,QUESTIONNAIRE_1.Q1_resp,QUESTIONNAIRE_1.Q2_RT,QUESTIONNAIRE_1.Q2_resp,QUESTIONNAIRE_1.Q3_RT,QUESTIONNAIRE_1.Q3_resp,QUESTIONNAIRE_1.Q4_RT,QUESTIONNAIRE_1.Q4_resp,QUESTIONNAIRE_1.Q5_RT,QUESTIONNAIRE_1.Q5_resp,QUESTIONNAIRE_1.Q6_RT,QUESTIONNAIRE_1.Q6_resp,QUESTIONNAIRE_1.Q7_RT,QUESTIONNAIRE_1.Q7_resp,QUESTIONNAIRE_1.Q8_RT,QUESTIONNAIRE_1.Q8_resp,QUESTIONNAIRE_1.Q9_RT,QUESTIONNAIRE_1.Q9_resp,QUESTIONNAIRE_2.Q10_RT,QUESTIONNAIRE_2.Q10_resp,QUESTIONNAIRE_2.Q11_RT,QUESTIONNAIRE_2.Q11_resp,QUESTIONNAIRE_2.Q12_RT,QUESTIONNAIRE_2.Q12_resp,QUESTIONNAIRE_2.Q13_RT,QUESTIONNAIRE_2.Q13_resp,QUESTIONNAIRE_2.Q14_RT,QUESTIONNAIRE_2.Q14_resp,QUESTIONNAIRE_2.Q15_RT,QUESTIONNAIRE_2.Q15_resp,QUESTIONNAIRE_2.Q16_RT,QUESTIONNAIRE_2.Q16_resp,QUESTIONNAIRE_2.Q1_RT,QUESTIONNAIRE_2.Q1_resp,QUESTIONNAIRE_2.Q2_RT,QUESTIONNAIRE_2.Q2_resp,QUESTIONNAIRE_2.Q3_RT,QUESTIONNAIRE_2.Q3_resp,QUESTIONNAIRE_2.Q4_RT,QUESTIONNAIRE_2.Q4_resp,QUESTIONNAIRE_2.Q5_RT,QUESTIONNAIRE_2.Q5_resp,QUESTIONNAIRE_2.Q6_RT,QUESTIONNAIRE_2.Q6_resp,QUESTIONNAIRE_2.Q7_RT,QUESTIONNAIRE_2.Q7_resp,QUESTIONNAIRE_2.Q8_RT,QUESTIONNAIRE_2.Q8_resp,QUESTIONNAIRE_2.Q9_RT,QUESTIONNAIRE_2.Q9_resp,QUESTIONNAIRE_3.Q10_RT,QUESTIONNAIRE_3.Q10_resp,QUESTIONNAIRE_3.Q11_RT,QUESTIONNAIRE_3.Q11_resp,QUESTIONNAIRE_3.Q12_RT,QUESTIONNAIRE_3.Q12_resp,QUESTIONNAIRE_3.Q1_RT,QUESTIONNAIRE_3.Q1_resp,QUESTIONNAIRE_3.Q2_RT,QUESTIONNAIRE_3.Q2_resp,QUESTIONNAIRE_3.Q3_RT,QUESTIONNAIRE_3.Q3_resp,QUESTIONNAIRE_3.Q4_RT,QUESTIONNAIRE_3.Q4_resp,QUESTIONNAIRE_3.Q5_RT,QUESTIONNAIRE_3.Q5_resp,QUESTIONNAIRE_3.Q6_RT,QUESTIONNAIRE_3.Q6_resp,QUESTIONNAIRE_3.Q7_RT,QUESTIONNAIRE_3.Q7_resp,QUESTIONNAIRE_3.Q8_RT,QUESTIONNAIRE_3.Q8_resp,QUESTIONNAIRE_3.Q9_RT,QUESTIONNAIRE_3.Q9_resp,READING.n_correct,SUMS.n_correct
97,0.5603448276,0.5000852709,286.8059495368,0.05,0.504,0.4,2,8,32029,30196,0,1,2.5659512539,9.7004,2,10.3012,2,9.9337,2,7.8672,0,5.3671,0.001256281,12.6337,0.7292714,7.0331,0.008165829,7.9337,0.7374372,5.1335,1,4.9338,0,10.3008,0,11.8005,0,38.269,0.9572864,7.1671,0.2437186,17.9676,2,10.0005,0,11.2675,2,8.1983,0,11.6674,2,4.934,0.6564071,9.6,0.4673367,5.334,0.03203518,5.034,1,7.2,0.4874372,5.434,0.6702262,7.367,0.326005,17.134,0.6620603,8.434,0.3274707,5.701,0.4997906,6.334,1,8.734,0.005653266,7.434,0.9817839,4.168,0.9836683,6.233,0.9673367,10.167,0.6934673,21.068,0.5558347,18.401,0.5609297,12.2,2,8.034,0.6771357,7.333,1,36.868,0.1201843,11.768,0,8.435,0.04271357,24.268,0.1670854,19.601,0.1614322,18.834,0.9981156,18.734,0.2292714,66,38
98,NaN,0.1342008384,348.4040689868,0.3414634146,0.469,0.6,8,4,26320,22243,8,10,-3.2574744805,15.8676,4,10.1338,2,8.3339,1,9.2338,0.8354272,8.2002,0.9949749,10.3001,1,8.9005,0.01444724,8.267,1,6.4336,0,9.0006,0.4842965,10.5674,0.7531407,8.0305,1,18.0344,0.7386935,7.8679,0.2447655,19.101,4,11.534,0,7.2671,2,5.8671,0,12.1671,0,7.633,0.6721106,5.702,0.343593,7.567,0.6614321,7.568,1,6.167,0.160804,4.967,1,12.967,0.3417085,7.335,0.6658291,20.268,0.3232831,13.2,0.3178392,7.1,0.9698492,16.334,0.3467337,20.834,0.9960217,5.834,0.3234925,6.134,1,9.533,0.9742462,33.334,0.1765075,18.068,0.08479899,14.834,2,9.034,0.0370603,6.367,1,15.301,0.1639447,30.934,0.005025126,21.167,0.2047739,28.635,0.4997906,15.267,0.2493719,22.434,0.1658292,25.799,0.1513819,51,43
99,0.724137931,0.3509265571,293.7597745093,0.0769230769,0.367,0.4,7,7,29148,30427,17,12,NaN,9.1337,4,4.0003,2,3.067,4,6.0336,0.01193467,7.0671,0.5,8.2003,0.7497906,6.0003,0.5108877,NaN,NaN,NaN,NaN,NaN,NaN,13.7679,0.508794,15.434,0.2481156,7.2333,1,9.8672,0.2594221,13.3343,3,8.8001,0,6.2,0,5.3335,0,9.0669,2,6.533,0.6639447,6.1,1,6.467,0.5,9,0.3190955,4.6,0.4103853,6.233,0.6658291,5.734,0.991206,8.767,0.6771357,8.333,1,7.701,0.6675739,6.767,0.3398241,5.534,0.02324121,4.368,0.7355528,10.767,0.3343802,5.2,0.3379397,10.935,1,10.567,0.6727387,18.568,0,6.967,0,5.4,0.3358459,3.734,1,11.234,0.9987437,9.934,0.1859296,8.001,0.2064489,17.166,0.2079146,12.8006,1,12.767,0.5822864,8.367,0.1105528,70,39
100,0.6724137931,0.3558649035,375.399699825,0.3414634146,0.767,0.533,8,6,31742,32361,8,5,2.9693111209,15.3009,2,17.2344,4,13.5005,4,7.4005,0.2600502,11.334,0,6.3006,0.003140704,5.467,0.0169598,8.167,0,9.9018,0.5,7.4669,0,19.4681,1,28.368,0.625,10.5341,0.6356784,11.6675,0.7594221,16.634,3,11.0667,0,11.1006,0,6.6338,0,23.9678,0,6.167,0.6048995,6.834,0.005653266,6.734,0,5.599,0.321608,12.067,0.2525126,10.9,0.6626884,18.634,0.6702262,9.334,0.9918342,15.401,0.9993719,11.101,0.6796482,21.401,0.682789,18.134,0.06930486,10.167,0.3115578,9.867,0,8.467,0.2826633,12.501,0.3339615,42.568,0.701005,22.934,0.4985344,11.3,2,18.834,0.6733668,9.5,0.333124,23.235,0,12.666,0,10.234,0,28.868,1,34.102,0.1675042,16.267,0.9698492,55.903,0.1672948,25,25
101,0.5086206897,0.6917028354,275.3227296311,0.0476190476,0.733,0.7,5,9,25359,24061,13,9,NaN,8.9007,4,18.1678,1,9.1673,1,19.0342,0.5180067,10.1674,0.9893216,7.3004,0.2826633,4.9002,0.5238693,5.9007,0.5,22.2675,0.5,5.8003,0.2167085,10.267,0.5,14.134,0.625,13.3008,1,13.2007,0.236809,21.6009,3,13.2668,0,11.6674,2,7.1341,0,10.4666,4,5.934,1,6.367,1,4.601,1,6.734,0.9905779,8.233,1,10.1,1,12.201,0.6721106,5.3,0.6675042,10,0.6702262,9.633,0.6670854,11.568,0.6681323,8.767,0.3400335,8.534,0,4.033,0.6639447,6.4,0.2035176,8.2,0,21.334,0.09798995,17.635,0.1723199,6.9667,0,7.568,1,10.3,0.1777638,15.733,0.97299,16.334,0,15.701,2,17.201,0.1658292,20.568,0.08312395,21.101,0.001046901,12.968,0.1719012,31,70
102,0.5689655172,0.5465227175,258.511142051,0,0.632,0.75,3,9,29543,25161,15,11,3.5108691783,9.6322,1,12.4671,3,8.4336,0,10.3674,0.7342965,6.467,1,5.0669,0.2525126,5.9004,0.7606784,6.3337,0.01193467,11.8009,0.9899498,4.4673,1,12.8344,0.2518844,17.3676,1,12.3002,0.7445561,7.3003,0.2625628,17.5343,4,10.1005,0,6.8003,2,5.7992,2,8.8001,0,6.901,0.3335427,6.033,0.4849246,4.533,0,4.834,0.9874372,3.732,1,8.467,0.6576633,10.104,0.5201005,8.634,0.665201,9.333,1,9.901,0.3134422,13.301,0.6275126,8.301,0.001256281,9.668,0.3329146,6.767,0.3134422,11.567,0.1878141,8.134,1,18.767,0.1407035,16.601,0.1829983,7,2,10.534,0,6.634,1,38.402,0.3333101,25.202,0.1036432,9.667,2,14.334,0.08396148,14.3,1,24.067,0.2380653,18.034,0.2292714,36,70
103,0.6724137931,0.6112153291,383.313702631,0.45,0.5835,0.596,8,6,26320,22243,6,0,3.5096022658,13.8672,1,12.5025,2,7.9338,2,13.6007,0.5,8.4335,0.01947236,7.4675,0.4937186,5.1002,0.5,5.1002,0.248325,8.0677,0.7468593,5.8335,0,15.2014,0.5,10.2669,0.5025126,9.6004,0.7523032,19.3342,0.7600502,13.4678,4,10.4671,2,8.0675,2,7.3333,0,17.1005,1,4.568,0.6501256,4.5,0.5728643,3.6,0.3213986,6.8,0,3.1,0.6614321,4.133,0.3919598,6.2,0.9786432,6.067,0.005653266,6.934,1,7.868,0.977387,7.6,0.995603,6.833,0.330402,5.5,0.3385679,9.568,0.3385679,5.934,0.9736181,4.701,0,17.135,1,19.967,0.1256281,7,2,8.301,0.3536432,10.201,0.7468593,10.334,0,17.5,0.09861809,20.4344,0.5037689,11.5,1,16.134,0.1815327,15.768,1,15.001,0.1733668,56,33
104,0.6810344828,0.2235003294,336.6681330176,0.2,0.583,0.467,5,5,NaN,NaN,5,1,0.7340818298,11.5335,2,18.2004,2,9.1338,1,15.7675,0.5,11.1342,1,11.6672,0.0201005,8.5336,0.9842965,18.7344,0.2594221,12.0009,0.9698492,7.367,0.2525126,17.6345,0.9949749,18.7677,0.5,25.0009,1,10.0004,0.5,23.1013,2,14.7344,0,10.2005,0,7.8669,0,13.2009,3,18.034,0.3046483,6.367,0.3316583,8.467,0,9.868,0.2003769,7.201,0.2066583,9.901,0.9974874,70.37,0.9585427,7.534,0.3385679,12.201,0.6645728,8.568,0.5136097,8.8,0.6884422,9.468,0.6605946,7.401,0.3278894,8.534,0.3316583,6.4,0.4478643,5.634,0.1277219,19.901,0.0138191,21.001,0,16.734,2,9.432,0.8825377,15.468,0.3163735,27.569,0.08396148,109.673,0.02763819,13.469,1,11.934,0.8247488,14.001,0.3354271,29.035,0.006909548,18.468,0.08291458,47,28
105,0.5172413793,0.8325731916,277.9398078985,0.0487804878,0.667,0.659,10,8,16768,24503,9,4,3.7036483286,18.3012,2,8.6672,2,9.4672,1,17.3339,0.2016332,6.4671,0.7481156,6.4335,0.5,6.4671,0.839196,6.7668,0.006281407,8.8672,1,3.7335,0.767588,14.7009,0.7556533,21.6683,0.2518844,10.1672,1,11.8673,0.7512563,16.5339,3,11.3333,0,8.1003,0,6.4006,0,15.5341,0,6.567,0.9704774,5.234,0.3592965,4.967,0.4648241,4,0,6.101,0,12.467,1,6.434,1,5.267,0.6432161,6.867,0.9899498,6.767,0.3239112,7.733,1,5.434,0.9830402,7.234,0.3337521,10.234,0.1758794,4.867,0.2255025,4.067,0.002512563,11.935,0.1136935,19.134,0.005653266,9.234,2,10.501,0,12.7,1,10.334,0.991206,10.534,0.06030151,13.167,0.4034059,11.567,0.04082914,14.934,0.3473618,15.734,0.8379397,14.1005,0.09798995,43,23
106,0.7068965517,0.8801541144,259.2040412942,0.025,0.499,0.467,8,8,30862,32470,13,13,3.4446499349,10.6673,2,10.4674,2,9.9337,1,9.8337,0.9899498,8.2671,0.9918342,7.2004,0.2474874,7.7005,0.4943467,8.8338,0.5029314,5.4672,1,4.8003,1,11.6341,0.5067002,16.368,0.3999163,18.5009,0.9817839,9.5004,0.5094221,34.402,4,20.4675,0,11.734,0,6.3673,0,11.0009,1,8.767,0.1193467,7.501,0.6080402,7.667,0.3333333,7.534,0,7.267,0.3322864,8.333,1,9.567,1,10.268,0.3222362,7.201,0.9974874,5.934,0.9993719,10.868,0.6702262,18.235,0.03643216,12.734,0.3481993,17,0.1055276,7.367,0.334799,9.768,0.001884422,13.5,0.3580402,22.634,0.165201,8.867,2,33.136,0.9962311,12,0.3561558,18.134,0.3509213,20.668,0,12.567,2,9.934,0.4082915,19.535,0.001884422,19.7,0.1658292,27.035,0.3234925,NaN,37
107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9641,6708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,0.7844827586,0.4213651145,342.3280150042,0.1794871795,0.7,0.8005,1,6,28347,30977,8,0,NaN,30.2016,3,9.0342,2,12.0341,0,14.801,0.5006281,8.867,0.5,12.4342,0.2355528,6.867,0.5,12.2005,0.7644472,8.4337,0.758794,32.8018,0,33.4353,0.5056533,18.4344,0.7550251,20.7673,0.9811558,15.8011,0.52701,19.1678,1,10.1337,0,8.7673,0,6.2004,0,11.4673,1,6.401,0,6.267,0.6633166,5.767,0.3301927,10.6667,0.2003769,4.634,0.01947236,10.567,0.6643634,5.9,0.995603,7.667,0.3289364,10.501,0.6796482,7.367,1,8.833,0.3322864,8.567,0,6.967,0.3318677,5.334,0.3335427,4.3,0.3329146,3.1,0.3639028,17.135,0.002512563,33.335,0.01528476,7.601,2,9.401,1,10.267,0.1777638,22.067,0.2487437,35.669,0.05590452,12.867,0.9987437,35.035,0.3366834,32.835,0,16.967,0.08542714,27.467,0.1331658,31,26
109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3996,1640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,0.7068965517,0.9228077544,253.6160258531,0.025,0.494,0.433,9,8,25221,30251,14,1,3.5053320438,18.1344,1,12.3341,2,8.4336,1,10.2677,0.7487437,10.1005,0.5,10.6339,1,8.167,0.5011167,9.9674,0.5,6.6003,0.1532663,6.3672,0.4937186,24.7677,0.5,20.9341,1,17.4009,0.5,10.5673,0.2581658,45.3024,3,11.4674,0,14.0343,0,20.0676,0,13.1006,1,6.401,1,5,0,10.934,0.1300251,8.269,0.004396985,6.634,0.02135678,10.1,0.5770519,8.701,0.3312395,24.235,0.6733668,8,1,9.767,1,11.568,0.6677136,9.067,0,5.834,0.321608,4.8,0.3278894,8.767,0.333124,5.6,0.01067839,13.434,0.3373116,21.802,0.00879397,6.833,0,8.667,1,10.934,0,6.867,0.1086683,16.3,0.03957286,13.5,0.9949749,22.635,0.3322864,18.401,0.2462312,19.701,0.08542714,16.735,1,34,22
111,0.5689655172,0.8690771021,276.518624176,0.05,0.5,0.501,10,7,20238,27978,13,7,3.5575781254,12.4006,1,10.3674,2,9.9337,1,10.0005,0,9.7338,0.007537689,10.6339,0,5.9331,0.7531407,8.8667,0.5,4.7671,0.2627722,3.5336,0.5,10.7008,0.5414573,17.101,0.8877722,18.5009,0.9792714,9.134,0.2514657,13.3005,1,18.4679,2,7.4314,0,6.3338,0,7.8671,0,6.367,1,6.433,1,4.267,0.9798995,7.934,1,4.867,0.3209799,9.901,1,7.468,0.00942211,36.27,1,5.834,0.3285176,6.3,0.9886935,11.801,0.6639447,7.6,0,7.767,0.3165829,4.967,0.3234925,9.067,0.2663317,15.767,0.2023311,14.567,0.00942211,18.735,0.01444724,8.6,2,8.134,0.3165829,10.367,0.3285176,27.968,0.4156818,33.535,0,12.7,2,10.868,0.2079146,18.301,0.07432999,15.534,0.004396985,33.735,1,42,34
112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,0.4913793103,0.5328702371,360.6277190417,0.358974359,1.467,1.167,6,2,9641,6708,8,4,3.0225270281,16.8673,2,13.234,1,8.5672,1,8.7676,0.5073283,17.0344,0.006281407,8.067,0.5232412,7.0337,0.5011167,10.567,0.2531407,7.6669,1,6.5,0.5,27.4352,0.7518844,18.7343,0.2550251,13.3006,0.7437186,19.3342,0.7462311,17.3675,1,8.8004,0,6.6004,0,6.2336,0,12.3341,0,6.867,0.3467337,7.634,0.01444724,10.634,0.04899497,9.867,0,6.034,0.2525126,18.334,0,16.535,0.6771357,9.634,0.3366834,10.434,0.6752512,10.134,0.6765075,14.768,0.3379397,9.801,0,6.167,0.2977387,13.567,0,8.434,0.9993719,14.168,0,15.634,0.2657035,20.402,0.005025126,7.901,0,6.633,0.3272613,12.133,0.007537689,32.502,0.1959799,10.934,0,44.17,1.517588,42.502,0.3674623,45.636,0.01130653,19.967,0.06909548,31.402,0.01067839,30,6
114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23233,28158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115,0.6896551724,0.3558807727,356.5468713893,0.2,0.666,0.4835,7,4,24247,19849,8,4,2.9391210728,12.7005,1,15.234,2,8.2338,1,7.2336,0,6.7665,0.2437186,6.8,0.2619347,3.6002,0.7732412,5.5667,0.2529313,5.7003,0.9698492,4.1635,0.75,19.8013,0.4011958,14.4674,0.241904,18.5337,0.4947655,7.4337,0.7405779,21.6677,2,10.4999,0,10.3674,0,6.4337,0,10.3682,1,6.267,0.6721106,3.6,0.3285176,4.133,0.3574121,5.133,0.006909548,5.034,0.4673367,5.167,1,8.7,0.9767588,7.467,1,7.4,0.6708543,11.101,0.7349246,5.3,1,6.6,0.01319095,11.401,0.3473618,6.267,0.3398241,11.067,0.1972362,4,0,10.333,0.9937186,6.767,1,9.167,0,4.834,0.6815327,6.667,0.333124,6.867,0.9805276,12.101,0.9968593,9.8,1.991206,10.167,0.3278894,15.767,1,3.267,0,13.634,0.6005025,31,30
116,0.5603448276,0.678185498,354.3613738537,0.1666666667,0.602,0.5,3,6,15843,23017,7,0,2.9815290096,10.2334,1,8.6004,2,9.4672,1,7.5676,0.2474874,7.6003,0.6457286,9.0672,0.7292714,4.2669,0.5,6.2002,0.2625628,5.7003,0.2569095,4.367,0.245603,10.1342,0.7481156,8.9672,0.2018425,8.7672,0.995603,12.7005,0.4874372,15.767,3,11.2673,0,10.3006,0,8.467,0,8.3005,1,11.335,1,5.8,0.3172111,3.967,0.7808021,8.1,0.02261307,3.734,0.003140704,7.3,1,6.568,0.6658291,8.434,0.6719012,7.7,0.6733668,8.767,0.6821608,17.635,1,5.8,0,5.6,0.2625628,4.7,0.7016332,4.967,1,6.267,0,11.034,0.04585427,17.568,0,13.868,0,15.168,0.1356784,11.034,1,26.669,0,10.067,0.08228643,16.667,0.4610553,18.667,0.09673367,17.768,0.1664573,15.701,0.1702261,18.201,0,32,23
117,0.6379310345,0.4171466966,272.4650384695,0.05,0.733,0.966,4,3,25221,30251,8,4,2.03499209,11.5999,2,14.8674,4,16.6338,0,8.0337,0,7.8004,0.2462312,7.5338,0.9842965,7.767,0.2361809,8.4675,0.006909548,6.7004,0.9937186,4.6669,0.001884422,13.9012,0.02261307,18.3677,0.001884422,11.3006,0.7518844,10.9337,0.5709799,28.6348,4,7.4334,0,8.2673,0,6.6003,0,8.267,1,6.734,1,5.7,0.6926298,8.734,0.3394054,7.034,1,12.068,0.3222362,10.467,0.9886935,8.7,0.6725293,7.734,0.6834171,9.167,1,7.8,0.5,17.834,0.3517588,7.367,0,7,0.6677136,7.934,1,15.301,0,10.301,0.06574539,12.2,0.005653266,17.6011,0.001884422,29.235,0,12.734,0.3316583,9.068,0.6796482,11.333,0.1614322,13.034,0,13.067,0.548995,11.634,0.07663316,15.067,0.09987437,16.0008,0.4723618,16.101,0.1702261,30,27
118,0.7844827586,0.6791715823,322.1008969025,0.243902439,0.402,0.5335,11,8,27645,30427,16,6,3.5123890744,10.1999,1,9.6004,2,6.7669,1,7.3669,0.5,8.6004,0.0169598,9.4004,0.02701005,8.2671,0.4729899,6.6669,0.2469989,5.4332,0.7491624,6.6006,0.7405779,18.4678,1,12.934,0,17.6344,0.5025126,8.6005,0.5961055,20.5679,4,6.9003,0,7.1669,0,6.3669,0,9.3,1,6.334,1,6.367,0.01256281,6.467,0.1300251,6.6,0,5.867,0.01570352,8.8,0.9930905,9.167,0.00879397,7.034,0.339196,9.767,0.6721106,18.134,0.4937186,7.367,1,9.9,1,10.5,0.2657035,9.9,0,8.2,0.09924623,5.367,0.3360553,36.532,0.8297738,23.568,0.406407,6.6672,0,20.235,0.2079146,47.336,0.8551089,36.436,0.08291458,19.068,0.0508794,28.802,0.2148241,12.134,0.5113065,18.501,0.1815327,16.534,0.1683417,21.101,0.006909548,26,51
119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29148,26957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120,0.6206896552,0.7856325192,343.4593028869,0.3,0.769,0.5175,8,6,10215,10167,5,8,3.5217060106,11.5005,1,10.5006,2,8.8339,1,9.2338,0.7493719,6.067,0.9987437,5.8003,0.5,6.5673,0.5,8.6666,0.3021357,6.1334,1,4.4667,0.5,11.4679,0.5,13.6674,0.3461055,10.5339,1,9.5002,0.5027219,27.1016,1,11.2674,0,11.1006,0,8.7674,2,9.2671,1,4.634,1,4.734,0.3517588,6.466,0.4497488,8.1,0.3257957,4.534,0.3366834,10.233,0.3517588,6.734,1,10.167,0.3266332,6.3,0.6727387,8.267,1,9.833,0.6940955,8.4,0.3316583,14.368,0.6821608,4.9005,1,4.233,1,4.3,0,11.7,0.343593,24.335,0.2223618,8.433,2,7.967,1,6.267,1,16.434,0.17567,11.768,0.003768844,11.168,1,14.201,0,20.268,0.3285176,17.901,0.01884422,16.001,0.6626884,47,33
121,0.5948275862,0.826950302,286.238569147,0,1.1,0.969,2,6,5046,3528,5,5,2.5100867643,10.4008,1,9.2005,2,8.4674,1,10.434,0.7487437,6.1335,0.5056533,4.7002,0.5,3.2004,0.5,7.7971,0.2399497,4.5669,0.7317839,4.8001,0.5,14.0344,0.8580402,13.7338,0.6545226,28.7678,0.4949749,8.7672,0.2487437,15.734,2,12.6673,0,11.0671,0,6.4012,0,9.6339,4,6.334,0.3327052,5.134,0.7952262,6.9,1,4.302,1,6.134,0,6.834,0.7619347,15.501,0.3285176,8.167,0.9761307,8.9,1,5.4,1,7.967,0.3354271,7.3,0,5.667,0.6821608,7.567,0.007537689,5.767,0.339196,7.334,0.3228643,20.068,0,19.601,0.02889447,7.367,2,7.901,1,6.1,0.01193467,13.334,0.1752513,13.935,0,11.001,0.3869347,13.568,0.8247488,20.201,0.3316583,21.668,0.01465662,17.568,0.07286432,57,61
